"region","name","label","calc","calc_lower","calc_upper"
"indo-pacific","Acanthastrea","ACAS",3.89,3.35,4.51
"indo-pacific","Acropora","Acropora",24.3,19.67,32.27
"indo-pacific","Acropora (branching)","ACBR",18.58,13.34,24.15
"indo-pacific","Acropora (tabulate)","ACTA",30.03,26,40.4
"indo-pacific","Astrea","ASTS",1.37,1.13,1.66
"indo-pacific","Astreopora","ASSP",4.95,4.15,6.05
"indo-pacific","CCA growing on rubble","CCAR",0.18,0.1,0.27
"indo-pacific","Coscinaraea","COSP",2.89,2.36,3.51
"indo-pacific","CRED-Acanthastrea spp","ACAS",3.89,3.35,4.51
"indo-pacific","CRED-Acropora spp_branching","ACBR",18.58,13.34,24.15
"indo-pacific","CRED-Acropora spp_tabulate","ACTA",30.03,26,40.4
"indo-pacific","CRED-Astrea spp","ASTS",1.37,1.13,1.66
"indo-pacific","CRED-Astreopora spp","ASSP",4.95,4.15,6.05
"indo-pacific","CRED-Branching hard coral","BR",11.86,8.55,15.35
"indo-pacific","CRED-CCA growing on hard substrate","CCAH",0.18,0.1,0.27
"indo-pacific","CRED-CCA growing on rubble","CCAR",0.18,0.1,0.27
"indo-pacific","CRED-Columnar hard coral","COL",7.21,6.46,7.94
"indo-pacific","CRED-Coscinaraea spp","COSP",2.89,2.36,3.51
"indo-pacific","CRED-Cyphastrea spp","CYPS",1.57,1.28,1.93
"indo-pacific","CRED-Diploastrea spp","DISP",10.8,9.21,12.47
"indo-pacific","CRED-Echinophyllia spp","ECHL",5.25,4.55,5.96
"indo-pacific","CRED-Echinopora spp","ECHP",3.27,2.79,3.79
"indo-pacific","CRED-Encrusting hard coral","ENC",4.05,3.23,5.14
"indo-pacific","CRED-Euphyllia spp","EUSP",11,10.03,11.95
"indo-pacific","CRED-Favia spp","FASP",0.62,0.47,0.84
"indo-pacific","CRED-Favites spp","FAVS",0.51,0.4,0.65
"indo-pacific","CRED-Foliose hard coral","FOL",7.25,6.33,8.28
"indo-pacific","CRED-Free-living hard coral","FREE",38.71,34.86,42.88
"indo-pacific","CRED-Fungia spp","FUSP",29.12,26.23,32.23
"indo-pacific","CRED-Galaxea spp","GASP",4.1,3.57,4.7
"indo-pacific","CRED-Goniastrea spp","GONS",13.13,11.75,14.63
"indo-pacific","CRED-Goniopora/Alveopora spp","GOAL",3.7,3.11,4.41
"indo-pacific","CRED-Hard substrate","HARD",-0.475,-0.475,-0.475
"indo-pacific","CRED-Heliopora spp","HCOE",7.64,5.5,9.69
"indo-pacific","CRED-Hydnophora spp","HYSP",19.48,17.6,21.37
"indo-pacific","CRED-Isopora spp","ISSP",3.25,2.83,3.73
"indo-pacific","CRED-Leptastrea spp","LEPT",5.18,3.66,7.44
"indo-pacific","CRED-Leptoria spp","LPHY",3.18,2.64,3.82
"indo-pacific","CRED-Leptoseris spp","LESP",4.14,3.54,4.82
"indo-pacific","CRED-Lobophyllia spp","LOBS",10.17,9.18,11.16
"indo-pacific","CRED-Massive hard coral","MASS",22.21,19.62,25.01
"indo-pacific","CRED-Merulina spp","MESP",9.14,8.47,9.88
"indo-pacific","CRED-Millepora spp","MISP",13.13,11.75,14.6
"indo-pacific","CRED-Montipora spp_branching","MOBR",15.77,11.24,20.3
"indo-pacific","CRED-Montipora spp_encrusting","MOEN",8.34,6.91,10.33
"indo-pacific","CRED-Montipora spp_foliose","MOFO",7.36,6.51,8.29
"indo-pacific","CRED-Oulophyllia spp","OUSP",54.16,49.75,58.75
"indo-pacific","CRED-Pachyseris spp","PACS",9.24,8.57,9.96
"indo-pacific","CRED-Pavona spp_encrusting","PAEN",4.03,3.37,4.79
"indo-pacific","CRED-Pavona spp_foliose","PAFO",10.43,9.87,10.98
"indo-pacific","CRED-Pavona spp_massive","PAMA",30.62,27.56,33.79
"indo-pacific","CRED-Phymastrea spp","PHSP",1.36,1.21,1.5
"indo-pacific","CRED-Platygyra spp","PLSP",16.25,14.57,18.06
"indo-pacific","CRED-Plerogyra spp","PLER",7.42,6.95,7.88
"indo-pacific","CRED-Pocillopora spp","POCS",17.26,12.23,22.38
"indo-pacific","CRED-Porites spp_branching","POBR",10.11,7.32,13.18
"indo-pacific","CRED-Porites spp_encrusting","POEN",5.45,4.53,6.58
"indo-pacific","CRED-Porites spp_foliose","POFO",4.2,3.78,4.65
"indo-pacific","CRED-Porites spp_massive","POMA",23.33,20.99,25.79
"indo-pacific","CRED-Psammocora spp","PSSP",8.22,6.61,10.3
"indo-pacific","CRED-Rubble substrate","RUB",-0.475,-0.475,-0.475
"indo-pacific","CRED-Stylophora spp","STYS",10.35,7.49,13.51
"indo-pacific","CRED-Symphyllia spp","SYSP",29.62,26.77,32.52
"indo-pacific","CRED-Turbinaria spp","TURS",7.17,6.25,8.2
"indo-pacific","CRED-Turf growing on hard substrate","TURFH",-0.475,-0.475,-0.475
"indo-pacific","CRED-Turf growing on rubble","TURFR",-0.475,-0.475,-0.475
"indo-pacific","Cyphastrea","CYPS",1.57,1.28,1.93
"indo-pacific","Diploastrea","DISP",10.8,9.21,12.47
"indo-pacific","Dipsastraea","FASP",0.62,0.47,0.84
"indo-pacific","Echinophyllia","ECHL",5.25,4.55,5.96
"indo-pacific","Echinopora","ECHP",3.27,2.79,3.79
"indo-pacific","Euphyllia","EUSP",11,10.03,11.95
"indo-pacific","Favites","FAVS",0.51,0.4,0.65
"indo-pacific","Fungia","FUSP",29.12,26.23,32.23
"indo-pacific","Galaxea","GASP",4.1,3.57,4.7
"indo-pacific","Goniastrea","GONS",13.13,11.75,14.63
"indo-pacific","Hard Coral (branching)","BR",11.86,8.55,15.35
"indo-pacific","Hard Coral (columnar)","COL",7.21,6.46,7.94
"indo-pacific","Hard Coral (encrusting)","ENC",4.05,3.23,5.14
"indo-pacific","Hard Coral (foliose)","FOL",7.25,6.33,8.28
"indo-pacific","Hard Coral (free-living)","FREE",38.71,34.86,42.88
"indo-pacific","Hard Coral (massive)","MASS",22.21,19.62,25.01
"indo-pacific","Hard Substrate","HARD",-0.475,-0.475,-0.475
"indo-pacific","Heliopora","HCOE",7.64,5.5,9.69
"indo-pacific","Hydnophora","HYSP",19.48,17.6,21.37
"indo-pacific","Isopora","ISSP",3.25,2.83,3.73
"indo-pacific","Leptastrea","LEPT",5.18,3.66,7.44
"indo-pacific","Leptoria","LPHY",3.18,2.64,3.82
"indo-pacific","Leptoseris","LESP",4.14,3.54,4.82
"indo-pacific","Lobophyllia","LOBS",10.17,9.18,11.16
"indo-pacific","Merulina","MESP",9.14,8.47,9.88
"indo-pacific","Millepora","MISP",13.13,11.75,14.6
"indo-pacific","Montipora","Monti",10.49,8.22,12.97
"indo-pacific","Montipora (branching)","MOBR",15.77,11.24,20.3
"indo-pacific","Montipora (encrusting)","MOEN",8.34,6.91,10.33
"indo-pacific","Montipora (foliose)","MOFO",7.36,6.51,8.29
"indo-pacific","Oulophyllia","OUSP",54.16,49.75,58.75
"indo-pacific","Pachyseris","PACS",9.24,8.57,9.96
"indo-pacific","Phymastrea","PHSP",1.36,1.21,1.5
"indo-pacific","Platygyra","PLSP",16.25,14.57,18.06
"indo-pacific","Plerogyra","PLER",7.42,6.95,7.88
"indo-pacific","Pocillopora","POCS",17.26,12.23,22.38
"indo-pacific","Porites","Porites",10.77,9.15,12.55
"indo-pacific","Porites (branching)","POBR",10.11,7.32,13.18
"indo-pacific","Porites (massive)","POMA",23.33,20.99,25.79
"indo-pacific","Psammocora","PSSP",8.22,6.61,10.3
"indo-pacific","Stylophora","STYS",10.35,7.49,13.51
"indo-pacific","Symphyllia","SYSP",29.62,26.77,32.52
"indo-pacific","Turbinaria (coral)","TURS",7.17,6.25,8.2
"indo-pacific","Turf on rubble","TURFR",-0.475,-0.475,-0.475
